Rank,Name,Meet,Time,Time in Seconds,Flags,Event ID,Event,Gender
1,David Bajwa,Calvin Winter Invitational,20.01,20.01,D3 B R,150,50 Free,Male
2,Forrest Peterson,MIAA Championships,20.20,20.2,D3 B,150,50 Free,Male
3,Charles Platt,MIAA Championships,20.43,20.43,D3 B R,150,50 Free,Male
4,Vlad Molin,MIAA Championships,20.69,20.69,,150,50 Free,Male
4,Corey Campbell,Calvin Winter Invitational,20.69,20.69,,150,50 Free,Male
6,Julien Camy,Calvin Winter Invitational,20.72,20.72,,150,50 Free,Male
7,Josh Seidelman,Calvin Winter Invitational,20.91,20.91,R,150,50 Free,Male
8,Austin Martinson,Calvin Winter Invitational,21.22,21.22,,150,50 Free,Male
9,Jazz Widney,MIAA Championships,21.23,21.23,,150,50 Free,Male
10,Zach Logan,Calvin Winter Invitational,21.44,21.44,,150,50 Free,Male
11,Addison Van Soelen,Calvin Winter Invitational,21.52,21.52,R,150,50 Free,Male
12,Logan Yakubowski,Calvin Winter Invitational,21.77,21.77,,150,50 Free,Male
13,Jack Kulaga,Calvin Winter Invitational,21.91,21.91,,150,50 Free,Male
13,Ted Turnage,Calvin Winter Invitational,21.91,21.91,,150,50 Free,Male
15,Benjamin Wichhart,Calvin Winter Invitational,21.92,21.92,R,150,50 Free,Male
16,Luke Foll,Calvin Winter Invitational,22.04,22.04,,150,50 Free,Male
16,Henry Phippen,MIAA Championships,22.04,22.04,,150,50 Free,Male
18,Steven Devaughn,MIAA Championships,22.18,22.18,,150,50 Free,Male
19,Will Bales,Hope vs. Calvin,22.27,22.27,,150,50 Free,Male
20,Timothy Hays,Calvin Winter Invitational,22.28,22.28,X R,150,50 Free,Male
21,Anthony Crudele,MIAA Championships,22.36,22.36,,150,50 Free,Male
22,Carter Detweiler,Calvin Wayne State,22.39,22.39,,150,50 Free,Male
23,Jonathan Taylor,MIAA Championships,22.53,22.53,R,150,50 Free,Male
24,Josh Krampe,Calvin Quad,22.71,22.71,R,150,50 Free,Male
25,Drew Schmid,MIAA Championships,22.76,22.76,,150,50 Free,Male
26,Jake Schotanus,Calvin Winter Invitational,22.77,22.77,R,150,50 Free,Male
27,Mohamed Abujiba,Calvin v Albion v Alma,22.90,22.9,,150,50 Free,Male
28,Jacob Ziegler,Calvin Wayne State,22.96,22.96,X,150,50 Free,Male
28,Beau Reeder,MIAA Championships,22.96,22.96,,150,50 Free,Male
30,Tater Ring,MIAA Championships,23.02,23.02,,150,50 Free,Male
31,Mike Wormmeester,Calvin Wayne State,23.51,23.51,R,150,50 Free,Male
32,Ryan Halberg,Calvin GVSU SVSU,23.69,23.69,R,150,50 Free,Male
33,Andrew Stimpert,Calvin Quad,23.71,23.71,R,150,50 Free,Male
34,Peter Crudele,Calvin Winter Invitational,23.84,23.84,,150,50 Free,Male
35,Nate Kaestner,Calvin Quad,26.58,26.58,X R,150,50 Free,Male
1,Maggie Farrell,MIAA Championships,23.44,23.44,D3 B,150,50 Free,Female
2,Sydney Sonday,MIAA Championships,23.49,23.49,D3 B,150,50 Free,Female
3,Isabella Gable,Calvin Winter Invitational,23.65,23.65,R,150,50 Free,Female
4,Meghan Bengelink,Calvin Winter Invitational,23.77,23.77,,150,50 Free,Female
5,Elise Bajwa,MIAA Championships,24.24,24.24,,150,50 Free,Female
6,Katie Phippen,Calvin Winter Invitational,24.57,24.57,,150,50 Free,Female
7,Anya Hopek,Calvin Winter Invitational,24.65,24.65,,150,50 Free,Female
8,Sadie Norman,MIAA Championships,24.67,24.67,R,150,50 Free,Female
9,Maria Pfundt,Calvin Winter Invitational,24.84,24.84,,150,50 Free,Female
10,Natalie Fisher,Calvin Winter Invitational,24.87,24.87,,150,50 Free,Female
11,Emma Merkel,Calvin Wayne State,24.95,24.95,,150,50 Free,Female
12,Kaelin Kelley,Calvin Winter Invitational,25.20,25.2,,150,50 Free,Female
13,Jenna Pierce,Calvin Wayne State,25.37,25.37,,150,50 Free,Female
14,Lauren Miedema,Calvin Winter Invitational,25.42,25.42,R,150,50 Free,Female
15,Elyse Radawski,Calvin v Albion v Alma,25.59,25.59,,150,50 Free,Female
16,Kristin Winkle,Calvin Quad,25.62,25.62,R,150,50 Free,Female
17,Jorie Cho,MIAA Championships,25.63,25.63,R,150,50 Free,Female
18,Lauren Robertson,MIAA Championships,25.84,25.84,,150,50 Free,Female
19,Grace Carpenter,Calvin Winter Invitational,25.89,25.89,,150,50 Free,Female
20,Sophia Korfmacher,Calvin Wayne State,25.98,25.98,R,150,50 Free,Female
