Rank,Name,Meet,Time,Time in Seconds,Flags
1,David Bajwa,Calvin Winter Invitational,20.01,20.01,D3 B R
2,Forrest Peterson,MIAA Championships,20.20,20.2,D3 B
3,Charles Platt,MIAA Championships,20.43,20.43,D3 B R
4,Vlad Molin,MIAA Championships,20.69,20.69,
4,Corey Campbell,Calvin Winter Invitational,20.69,20.69,
6,Julien Camy,Calvin Winter Invitational,20.72,20.72,
7,Josh Seidelman,Calvin Winter Invitational,20.91,20.91,R
8,Austin Martinson,Calvin Winter Invitational,21.22,21.22,
9,Jazz Widney,MIAA Championships,21.23,21.23,
10,Zach Logan,Calvin Winter Invitational,21.44,21.44,
11,Addison Van Soelen,Calvin Winter Invitational,21.52,21.52,R
12,Logan Yakubowski,Calvin Winter Invitational,21.77,21.77,
13,Jack Kulaga,Calvin Winter Invitational,21.91,21.91,
13,Ted Turnage,Calvin Winter Invitational,21.91,21.91,
15,Benjamin Wichhart,Calvin Winter Invitational,21.92,21.92,R
16,Luke Foll,Calvin Winter Invitational,22.04,22.04,
16,Henry Phippen,MIAA Championships,22.04,22.04,
18,Steven Devaughn,MIAA Championships,22.18,22.18,
19,Will Bales,Hope vs. Calvin,22.27,22.27,
20,Timothy Hays,Calvin Winter Invitational,22.28,22.28,X R
21,Anthony Crudele,MIAA Championships,22.36,22.36,
22,Carter Detweiler,Calvin Wayne State,22.39,22.39,
23,Jonathan Taylor,MIAA Championships,22.53,22.53,R
24,Josh Krampe,Calvin Quad,22.71,22.71,R
25,Drew Schmid,MIAA Championships,22.76,22.76,
26,Jake Schotanus,Calvin Winter Invitational,22.77,22.77,R
27,Mohamed Abujiba,Calvin v Albion v Alma,22.90,22.9,
28,Jacob Ziegler,Calvin Wayne State,22.96,22.96,X
28,Beau Reeder,MIAA Championships,22.96,22.96,
30,Tater Ring,MIAA Championships,23.02,23.02,
31,Mike Wormmeester,Calvin Wayne State,23.51,23.51,R
32,Ryan Halberg,Calvin GVSU SVSU,23.69,23.69,R
33,Andrew Stimpert,Calvin Quad,23.71,23.71,R
34,Peter Crudele,Calvin Winter Invitational,23.84,23.84,
35,Nate Kaestner,Calvin Quad,26.58,26.58,X R
1,Maggie Farrell,MIAA Championships,23.44,23.44,D3 B
2,Sydney Sonday,MIAA Championships,23.49,23.49,D3 B
3,Isabella Gable,Calvin Winter Invitational,23.65,23.65,R
4,Meghan Bengelink,Calvin Winter Invitational,23.77,23.77,
5,Elise Bajwa,MIAA Championships,24.24,24.24,
6,Katie Phippen,Calvin Winter Invitational,24.57,24.57,
7,Anya Hopek,Calvin Winter Invitational,24.65,24.65,
8,Sadie Norman,MIAA Championships,24.67,24.67,R
9,Maria Pfundt,Calvin Winter Invitational,24.84,24.84,
10,Natalie Fisher,Calvin Winter Invitational,24.87,24.87,
11,Emma Merkel,Calvin Wayne State,24.95,24.95,
12,Kaelin Kelley,Calvin Winter Invitational,25.20,25.2,
13,Jenna Pierce,Calvin Wayne State,25.37,25.37,
14,Lauren Miedema,Calvin Winter Invitational,25.42,25.42,R
15,Elyse Radawski,Calvin v Albion v Alma,25.59,25.59,
16,Kristin Winkle,Calvin Quad,25.62,25.62,R
17,Jorie Cho,MIAA Championships,25.63,25.63,R
18,Lauren Robertson,MIAA Championships,25.84,25.84,
19,Grace Carpenter,Calvin Winter Invitational,25.89,25.89,
20,Sophia Korfmacher,Calvin Wayne State,25.98,25.98,R
21,Milana Srbinovski,MIAA Championships,26.12,26.12,
22,Abby Merz,MIAA Championships,26.21,26.21,X
23,Aly Hoover,MIAA Championships,26.33,26.33,
24,Rachel Haitonic,Calvin Winter Invitational,26.77,26.77,
25,Cailin Ogg,MIAA Championships,26.92,26.92,
26,Madi McNearney,Calvin Quad,27.23,27.23,X R
27,Becca Streelman,Calvin Wayne State,27.47,27.47,X
28,Eden Maring,MIAA Relays,27.65,27.65,R
29,Maya Bedford,2024 Calvin Kalamazoo Olivet,27.67,27.67,
